ACCE_ABSORB_CHANCE	Rata absorbtiei: %d%%
GUILD_BATTLE_OUTPOST_REMAIN_TIME_FONT	Tahoma:14b
GUILD_BATTLE_PAGE_ENTER_REQUIRMENTS	Conditii indeplinite?
GUILD_BATTLE_PAGE_START_REMAIN_TIME	Batalia incepe in: %s
GUILD_BATTLE_PERSONAL_BUFF	Suport Recompensa
GUILD_BATTLE_PERSONAL_REWARD_BUTTON_TOOLTIP	Primesti Recompensa Suport
GUILD_BATTLE_PK_GUILD_MESSAGE	%s a ucis %d jucatori din alte bresle.
GUILD_BATTLE_PLAYER_KILL	Ai ucis un membru al breslei %s.
GUILD_BATTLE_QUALIFICATION	Invinge-l pe Regele Dragon sau foloseste un\nTichet Batalia Breslelor pentru a participa.
GUILD_BATTLE_RELOAD_BUTTON_COOLTIME_MESSAGE	Mai incearca odata.
GUILD_BATTLE_RESULT_BOARD_REMAIN_TIME_MESSAGE	Vei fi teleportat in %s.
GUILD_BATTLE_REVIVE_USE_SCROLL_MESSAGE	Ai reinviat cu Reinviere Breasla.
GUILD_BATTLE_START_MESSAGE	Batalia Breslelor a inceput! Participa la provocare apasand pe butonul Intra din meniul Batalia Breslelor!
GUILD_BATTLE_STATUS_BOARD_PK	PK: %d
GUILD_BATTLE_STATUS_BOARD_REMAIN_MONSTER_COUNT	%s: %d/%d
GUILD_BATTLE_TEAM_NAME_BLUE	Albastru
GUILD_BATTLE_TEAM_NAME_GREEN	Verde
GUILD_BATTLE_TEAM_NAME_RED	Rosu
GUILD_BATTLE_TEAM_NAME_YELLOW	Galben
GUILD_BATTLE_USE_MOVE_TICKET_MESSAGE	Ai folosit Tichet Portal Breasla si vei fi teleportat la %s in curand.
GUILD_BATTLE_USE_SCROLL	Doresti sa participi la Batalia Breslelor?
GUILD_BATTLE_USE_TICKET_CANCEL_MESSAGE	Inregistrarea ta pentru Batalia Breslelor a fost anulata.
GUILD_BOARD_ID	Membru
GUILD_BOARD_TEXT	Mesaj
GUILD_BUILDING_FIX_CHANGE	Sigur doresti sa schimbi pozitia?
GUILD_BUILDING_FIX_CHANGE_GOLD	Cost: 1,000,000 Yang
GUILD_BUILDING_FIX_DELETE	Chiar vrei sa stergi acest obiect?
GUILD_BUILDING_FIX_NEED_BUILDING	Nicio cladire prezenta.
GUILD_BUILDING_GRADE	Grad
GUILD_BUILDING_LOG_PLUS	Bustean+
GUILD_BUILDING_NAME	Numele cladirii
GUILD_BUILDING_PLY_PLUS	Placaj+
GUILD_BUILDING_SMELT_STONE	Piatra Runica
GUILD_BUILDING_STONE_PLUS	Piatra Fundatie+
GUILD_CANNOT_HEAL_GSP_ANYMORE	Energia Spiritul Dragonului este deja plina.
GUILD_CHANGEMASTER_TEXT1	Noul lider va fi: %s
GUILD_CHANGEMASTER_TEXT2	Doresti sa numesti un nou lider de breasla?
GUILD_CHANGEMASTER_TEXT3	Esti sigur ca vrei sa predai
GUILD_CHANGEMASTER_TEXT4	functia de lider de breasla?
GUILD_COMMENT	Scrie
GUILD_CONTENTS_ONGOING	Batalie in Desfasurare
GUILD_CREATE_ERROR_INSULT_NAME	Numele breslei nu este permis.
GUILD_DEFAULT_GRADE	Membrii breslei
GUILD_DELETE	Șterge
GUILD_DEPOSIT	Pune deoparte
GUILD_DISBAND_OR_LEAVE_OR_OUT_FAIL_MESSAGE	Nu poti parasi breasla acum, deoarece esti in lupta.
GUILD_DISBAND_SUCCESS_MESSAGE	Breasla a fost desfiintata.
GUILD_DONATE_FAIL_NOT_ENOUGH_HIGH_ITEM	Nu ai suficiente Tichete Donatie Mare.
GUILD_DONATE_FAIL_NOT_ENOUGH_INVENTORY	Nu mai exista loc in inventar. Nu poti dona.
GUILD_DONATE_FAIL_NOT_ENOUGH_LEVEL	Trebuie sa fi atins nivelul 30 pentru a putea dona.
GUILD_DONATE_FAIL_NOT_ENOUGH_MIDDLE_ITEM	Nu ai suficiente Tichete Donatie Medie.
GUILD_DONATE_FAIL_NOT_ENOUGH_YANG	Nu ai suficient Yang.
GUILD_DONATE_FAIL_TIME	Nu poti dona timp de 24 de ore dupa ce ai intrat in breasla.
GUILD_DONATE_QUESTION_HIGH	Vrei sa faci o Donatie Mare?
GUILD_DONATE_QUESTION_MIDDLE	Vrei sa faci o Donatie Medie?
GUILD_DONATE_QUESTION_NORMAL	Vrei sa faci o Donatie Mica?
GUILD_DO_YOU_HEAL_GSP	Doresti sa folosesti %d Yang pentru a restaura %d unitati din Spiritul Dragonului?
GUILD_DO_YOU_JOIN	 te-a invitat. Vrei sa te alaturi aliantei?
GUILD_DRAGONLAIR_MIN	min.
GUILD_DRAGONLAIR_PARTY_ALL	Ranguri Totale
GUILD_DRAGONLAIR_PARTY_LINE_FOUR	Locul 11 si mai putin: 100 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_HELP	Ajutor
GUILD_DRAGONLAIR_PARTY_LINE_ONE	Locul 1: 400 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_THREE	Locul 4-10: 200 Gaya
GUILD_DRAGONLAIR_PARTY_LINE_TWO	Locul 2-3: 300 Gaya
GUILD_DRAGONLAIR_PARTY_MEMBER	Membri
GUILD_DRAGONLAIR_PARTY_NOW	Ranguri Saptamanale
GUILD_DRAGONLAIR_PARTY_PAST	Ranguri Anterioare
GUILD_DRAGONLAIR_PARTY_TIME	Timp
GUILD_DRAGONLAIR_PARTY_TOOLTIP_TITLE	Recompensa
GUILD_DRAGONLAIR_RANKING_FAIL	ESUAT
GUILD_DRAGONLAIR_RANKING_NONE	NOU
GUILD_DRAGONLAIR_RANKING_SUCCESS	SUCCES
GUILD_DRAGONLAIR_SECOND	sec.
GUILD_DRAGON_LAIR_DUNGEON_APPLY_SUCCESS	Te-ai inregistrat la Cripta lui Balathor. Vorbeste cu Garda Dragon Dolnarr pentru a intra. Dupa aceea, ai 10 minute pentru a incepe lupta.
GUILD_DRAGON_LAIR_DUNGEON_START	Batalia pentru Cripta lui Balathor a inceput. Limita de timp in temnita este de o ora.
GUILD_EMPTY_AREA	Şara goala
GUILD_ENEMY_GUILD_NAME	Numele breslei inamicului
GUILD_FACILITY	Cladire secundara
GUILD_GEM	Piatra pretioasa
GUILD_HEADQUARTER	Cladire principala
GUILD_HEAL_GSP	Reface Spiritul Dragonului
GUILD_INFO_ENEMY_GUILD_EMPTY	Niciuna
GUILD_MARK_NOT_ENOUGH_LEVEL	Cerinta: Minim nivelul 3
GUILD_MARK_UPLOAD_NOTICE	Asteapta un moment pentru a putea adauga logo-uri breslei.
GUILD_MEMBEROUT_AUTH	Nu poti elimina niciun membru.
GUILD_MEMBEROUT_NOMAL	Doresti sa elimini acest membru?
GUILD_MEMBER_JOB	Clasa
GUILD_MEMBER_KNIGHT	Combatant
GUILD_MEMBER_LEVEL	Nivel
GUILD_MEMBER_NAME	Membru
GUILD_MEMBER_RANK	Rang
GUILD_MEMBER_SPECIFIC_GRAVITY	EXP Donata
GUILD_NAME	Numele breslei
GUILD_NOT_ENOUGH_MATERIAL	Nu detii destul material pentru aceasta cladire.
GUILD_NOT_ENOUGH_MONEY	Nu detii destul Yang pentru aceasta cladire.
GUILD_NO_NOTICE_PERMISSION	Nu iti este permis sa faci un anunt.
GUILD_OBJECT	Obiecte
GUILD_OBJECT_POSSIBLE_NEWWORLD	Aceasta cladire este disponibila doar pe continentul Yohara.
GUILD_OFFER_EXP	Investeste Experienta
GUILD_SELECT_ONE	Alege un membru al breslei.
GUILD_SHORT_EXP	Nu ai destule puncte de experienta.
GUILD_SITE_AUCTION_END_TIME	Licitatie Teritoriu: %02d/%02d (luna/zi) la %02d:%02d
GUILD_SITE_AUCTION_END_TIME_DEFAULT	Licitatie de teritoriu: N/A
GUILD_SITE_AUCTION_INFO	Teritoriul oferit: %s / %d,%d
GUILD_SITE_AUCTION_INFO_DEFAULT	Teritoriul oferit: N/A
GUILD_SITE_AUCTION_MAP_INFO	Data (luna/zi): %02d/%02d; Ora: %02d:%02d
GUILD_SITE_AUCTION_STATE_NONE	Toate licitatiile au fost trimise.
GUILD_SITE_AUCTION_STATE_REGIST	In %s, teritoriul de la %s,%s este licitat. Doar liderii breslei se poate inregistra la licitatia teritoriala.
GUILD_SITE_AUCTION_STATE_RUN	Licitatia teritoriului se termina pe %02d/%02d (luna/zi) la %02d:%02d.
GUILD_SITE_AUCTION_STATE_WAIT	Licitatia teritoriului incepe pe %02d/%02d (luna/zi) la %02d:%02d pentru %s, teritoriu %d,%d.
GUILD_SITE_AUTO_ABNDON_TIME	Abandonare automata a teritoriului: %s
GUILD_SITE_TAX_INFO	Teritoriul breslei va fi abandonat in %s. Toate obiectele din depozitul breslei vor fi sterse.
GUILD_TILE_BASEINFO	Informatii Teritoriu
GUILD_TILE_BOARD	Mesajele Breslei
GUILD_TILE_GRADE	Drepturi de Administrare
GUILD_TILE_GUILD_BATTLE	Batalia Breslelor
GUILD_TILE_GUILD_CONTENTS_LIST	Batalia Breslelor
GUILD_TILE_INFO	Informatii breasla
GUILD_TILE_MEMBER	Membru
GUILD_TILE_SKILL	Calificarea breslei
GUILD_USE_MASTER_ONLY	Doar liderul breslei are acest drept.
GUILD_VILLAGE_01	Miryang
GUILD_VILLAGE_02	Songpa
GUILD_VILLAGE_03	Daeyami
GUILD_WAR1	Zona de Lupta Breasla
GUILD_WAR2	Zona de Lupta Breasla
GUILD_WAR3	Zona de Lupta Breasla
GUILD_WAR4	Zona de Lupta Breasla
GUILD_WAR_GAINSCORE_FIFTY	50 puncte
GUILD_WAR_GAINSCORE_HUNDRED	100 puncte
GUILD_WAR_GAINSCORE_THIRTY	30 puncte
GUILD_WAR_GAMETIME_SIXTY	60 minute
GUILD_WAR_GAMETIME_TEN	10 minute
GUILD_WAR_GAMETIME_THIRTY	30 minute
GUILD_WAR_LIMIT_30MIN	Timp: 30 de minute
GUILD_WAR_REWARD_POTION	Recompensa: Castigatorul primeste licori
GUILD_WAR_SELECT_WAR	Selecteaza tipul
GUILD_WAR_TYPE_DEFENSE	Scut Lupta
GUILD_WAR_TYPE_DIE	Lupta in Arena
GUILD_WAR_TYPE_FLAG	Captureaza Steag
GUILD_WAR_TYPE_NORMAL	Lupta de Camp
GUILD_WAR_TYPE_TIGER	Anihilare
GUILD_WAR_TYPE_TIME	Timp Atac
GUILD_WAR_USE_BATTLE_MAP	Locatie: Campul de Lupta al Breslei
GUILD_WAR_USE_NORMAL_MAP	Locatie: Harta Normala
GUILD_WAR_WIN_CHECK_SCORE	Cel mai bun rezultat castiga razboiul.
GUILD_WAR_WIN_FIVE	5 runde
GUILD_WAR_WIN_ONE	1 runda
GUILD_WAR_WIN_TAKE_AWAY_FLAG1	Captureaza steagul inamicului
GUILD_WAR_WIN_TAKE_AWAY_FLAG2	si adu-l in baza ta.
GUILD_WAR_WIN_THREE	3 runde
GUILD_WAR_WIN_WIPE_OUT_GUILD	Infrange toti inamicii pentru a castiga.
GUILD_WHITE_DRAGON_LAIR_ALREADY_USED_BUFF_POTION	Efectele sunt deja active.
GUILD_WHITE_DRAGON_LAIR_BUFF_POTION_CANNOT_USE_IN_MAP	Poti folosi asta doar in Cripta lui Balathor.
GUILD_WHITE_DRAGON_LAIR_CANNOT_ATTACK_EGG	Trebuie sa muti Ou Dragon Fierbinte in cealalta directie.
GUILD_WHITE_DRAGON_LAIR_CAN_USE_SINGIJEON	Hwacha este gata sa fie folosita!
GUILD_WHITE_DRAGON_LAIR_CONCENTRATED_STRIKE_REMAIN_TIME	Concentreaza-te pe Ou Dragon Inghetat inainte ca acesta sa dispara in %d secunde.
GUILD_WHITE_DRAGON_LAIR_CONCENTRATED_STRIKE_SUCCESS	Ai alungat cu succes frigul inghetat.
GUILD_WHITE_DRAGON_LAIR_DRAGON_CRY_SOUNDS_LOUDER	Ragetul lui Balathor zguduie cripta.
GUILD_WHITE_DRAGON_LAIR_DRAGON_STARTS_GOING_CRAZY	Balathor a pierdut Ouale Dragon. Acum se va enerva!
GUILD_WHITE_DRAGON_LAIR_DRAGON_STARTS_GOING_MILD	Balathor are din nou Ouale Dragon. Va avea grija sa nu-si foloseasca toata puterea.
GUILD_WHITE_DRAGON_LAIR_FAIL_1	Nu ai reusit sa finalizezi Cripta lui Balathor. Vei fi teleportat afara in 5 minute.
GUILD_WHITE_DRAGON_LAIR_FAIL_2	Vei fi teleportat afara in 3 minute. Poti vorbi cu Garda Dragon Dolnarr pentru a parasi temnita imediat.
GUILD_WHITE_DRAGON_LAIR_FIRE_ARROW_COUNT_FULL	Nu mai poti incarca sageti.
GUILD_WHITE_DRAGON_LAIR_GAUGE_INCREASED_BY_DESTROYED_EGG	Sigiliul lui Balathor a fost foarte slabit, deoarece un Ou Dragon a fost distrus.
GUILD_WHITE_DRAGON_LAIR_GAUGE_INCREASED_BY_DYING	Moartea unui erou a slabit sigiliul lui Balathor.
GUILD_WHITE_DRAGON_LAIR_GAUGE_INCREASED_BY_FREEZING_DEBUFF	Sigiliul lui Balathor a fost slabit deoarece cineva a fost inghetat.
GUILD_WHITE_DRAGON_LAIR_GET_FIRE_ARROW	Distruge cristalele antice de gheata pentru a obtine Sageti de Foc.
GUILD_WHITE_DRAGON_LAIR_HIDDEN_CONCENTRATED_STRIKE_START	Distruge Oul Dragon Inghetat repede!
GUILD_WHITE_DRAGON_LAIR_HIDDEN_CONCENTRATED_STRIKE_WAIT	In 10 secunde, va aparea Oul Dragon al lui Balathor si poti initia un atac asupra lui.
GUILD_WHITE_DRAGON_LAIR_HIDDEN_FAIL_REWARD	Balathor fuge si isi lasa comoara in urma.
GUILD_WHITE_DRAGON_LAIR_NEXT_CONCENTRATED_STRIKE_NEED_MORE_DAMAGE	Va fi nevoie de mai multe daune pentru urmatorul atac.
GUILD_WHITE_DRAGON_LAIR_NOTICE_CONCENTRATED_STRIKE_START	Unul dintre Ouale Dragon Balathor invoca inghetul! Concentreaza-ti atacurile pentru a-l opri.
GUILD_WHITE_DRAGON_LAIR_NOTICE_GIVE_UP	Şi-ai anulat incercarea de a stapani Cripta lui Balathor. Vei fi teleportat in 1 minut.
GUILD_WHITE_DRAGON_LAIR_NOTICE_INCREASE_ARROW_COUNT	Hwacha este in prezent incarcat cu %d Sageti de Foc.
GUILD_WHITE_DRAGON_LAIR_NOTICE_LIMIT_TIME	Timp ramas: %d
GUILD_WHITE_DRAGON_LAIR_NOTICE_REWARD_STAGE_REMAIN_TIME	Vei fi teleportat afara in %d minute. Poti vorbi cu Garda Dragon Dolnarr pentru a parasi temnita imediat.
GUILD_WHITE_DRAGON_LAIR_NOTICE_REWARD_STATGE	Poti colecta recompensa din Comoara lui Balathor. Vei fi teleportat afara in 5 minute.
GUILD_WHITE_DRAGON_LAIR_NOTICE_SPAWNEED_BROKEN_EGG	Ou Dragon Fierbinte a aparut.
GUILD_WHITE_DRAGON_LAIR_NOT_ENOUGH_GUILD_SP	Nu ai suficient Puterea Zeului Dragon.
GUILD_WHITE_DRAGON_LAIR_PROTECTED_EGGS	Distruge ouale pentru a provoca daune!
GUILD_WHITE_DRAGON_LAIR_PUT_EGGS_BACK_IN_ORIGINAL_PLACE	Ou Dragon Balathor reapare in locatia sa initiala.
GUILD_WHITE_DRAGON_LAIR_REPAIR_SINGIJEON	Hwacha nu poate fi incarcat inainte de a fi reparat.
GUILD_WHITE_DRAGON_LAIR_REPAIR_SINGIJEON_SUCCESS	Hwacha este acum complet reparata.
GUILD_WHITE_DRAGON_LAIR_RUN_AWAY_TO_BREATH	Balathor a vazut un Ou Dragon distrus. Evita-i respiratia inghetata!
GUILD_WHITE_DRAGON_LAIR_UI_BOSS_NAME_TOOLTIP	Balathor
GUILD_WHITE_DRAGON_LAIR_UI_BROKEN_EGG_INFO_1	Ramas
GUILD_WHITE_DRAGON_LAIR_UI_BROKEN_EGG_INFO_2	Sanse: %d
GUILD_WHITE_DRAGON_LAIR_UI_BROKEN_EGG_TOOLTIP	Daca %d Oua Dragon Fierbinti sunt distruse, incercarea in temnita este esuata.
GUILD_WHITE_DRAGON_LAIR_UI_FLYING_FLMAE_BREATH_TOOLTIP	Daca sigiliul esueaza 100%%, Balathor isi va indrepta privirea mortala asupra ta. (Deficienta actuala a sigiliului: %d%%)
GUILD_WHITE_DRAGON_LAIR_UI_HIDDEN_BOSS_NAME_TOOLTIP	Balathor
GUILD_WHITE_DRAGON_LAIR_UI_SINGIJEON_NAME_TOOLTIP	Hwacha
GUILD_WHITE_DRAGON_LAIR_UI_SINGIJEON_TOOLTIP	Odata ce sunt incarcate 8 sageti, armura lui Balathor poate fi distrusa. Sagetile de Foc pot fi achizitionate din cristalele de gheata antice. Incarcat in prezent: %d
GUILD_WITHDRAW	Retragere
GUILD_YOU_DO_NOT_JOIN	Nu apartii nici unei bresle.
HACK_USER_MESSAGE	Aceasta functie nu este disponibila deoarece a fost detectat software de hacking.
HORSE_HEALTH0	Mort
HORSE_HEALTH1	Foame
HORSE_HEALTH2	Infometat
HORSE_HEALTH3	Plin
HORSE_LEVEL1	Cal normal
HORSE_LEVEL2	Cal de lupta
HORSE_LEVEL3	Cal militar
HORSE_LEVEL4	Cal de Razboi Puternic
HOUR	h
HOW_MANY_ITEM_DO_YOU_DROP1	Vrei sa arunci %s?
HOW_MANY_ITEM_DO_YOU_DROP2	Vrei sa arunci %s %d?
INPUT_PRIVATE_CODE_DIALOG_DESCRIPTION	Introducere cod de stergere din administrare cont.
INPUT_PRIVATE_CODE_DIALOG_TITLE	Șterge caracterul
INVENTORY_REALLY_USE_ITEM	Vrei sa folosesti acest obiect?
INVENTORY_REALLY_USE_PET_BAG_ITEM	Doresti sa pui insotitorul in Cutia de Transport?
INVENTORY_REALLY_USE_PET_BAG_TAKE_OUT	Doresti sa deschizi Cutia de Transport?
INVENTORY_REALLY_USE_PET_FEEDSTUFF_ITEM	Doresti sa hranesti cu %s pe %s?
ITEMSHOP_BUY_TEXT	Vrei sa cumperi |cffF7BD48%s|r ?
ITEMSHOP_BUY_TEXT_COUNT	Vrei sa cumperi |cffF7BD48%s x%d|r ?
ITEMSHOP_CATEGORY_0_NAME	Oferte
ITEMSHOP_CATEGORY_0_SUB_0_NAME	Pachete
ITEMSHOP_CATEGORY_0_SUB_1_NAME	Oferte speciale
ITEMSHOP_CATEGORY_1_NAME	Obiecte speciale
ITEMSHOP_CATEGORY_2_NAME	Cosmetice
ITEMSHOP_CATEGORY_2_SUB_0_NAME	Costume Arma
ITEMSHOP_CATEGORY_2_SUB_1_NAME	Costume Armura
ITEMSHOP_CATEGORY_2_SUB_2_NAME	Frizuri
ITEMSHOP_CATEGORY_2_SUB_3_NAME	Costume Animalut
ITEMSHOP_CATEGORY_2_SUB_4_NAME	Costume Mount
ITEMSHOP_CATEGORY_3_NAME	Companioni
ITEMSHOP_CATEGORY_3_SUB_0_NAME	Mounti
ITEMSHOP_CATEGORY_3_SUB_1_NAME	Animalute
ITEMSHOP_CATEGORY_3_SUB_2_NAME	Insotitori
ITEMSHOP_CATEGORY_4_NAME	Temnite
ITEMSHOP_CATEGORY_5_NAME	Echipament
ITEMSHOP_DRAGONCOINT	Monede Dragon
ITEMSHOP_EXPIRED	Expirat
ITEMSHOP_ITEMSEARCH_DEFAULT_TEXT	Cauta ...
ITEMSHOP_LAST_COUNT	Ramas: %d
ITEMSHOP_MENU_TITLE_HOME	Acasa
ITEMSHOP_MENU_TITLE_HOTITEMS	|Eishop/hot|e Popular
ITEMSHOP_MENU_TITLE_OFFERS	|Eishop/offer|e Oferte
ITEMSHOP_MENU_TITLE_WHEEL	|Eishop/wheel_icon|e Ruleta
ITEMSHOP_PRICE_NEW	|Eishop/mini_coin|e %s MD
ITEMSHOP_PRICE_ONLY_TEXT	%s MD
ITEMSHOP_PRICE_WITH_DISCOUNT	|Eishop/mini_coin|e |cffFF7B7B%s MD (%d%%)
ITEMSHOP_PURCHASES	Istoric
ITEMSHOP_PURCHASES_ACCOUNTID	Cont
ITEMSHOP_PURCHASES_DATE	Data
ITEMSHOP_PURCHASES_IP	IP
ITEMSHOP_PURCHASES_ITEMBOUGHT	Obiect cumparat
ITEMSHOP_PURCHASES_PRICE	Pret
ITEMSHOP_PURCHASES_PRICE_TEXT	|Eishop/mini_coin|e |cfff7bd48%s MD
ITEMSHOP_WHEEL_COIN_TEXT	|Eishop/coin|e  Pret: 10 MD
ITEMSHOP_WHEEL_COIN_TEXT_INFO	Folosesti |cffF7BD48Monede|r pentru ruleta.
ITEMSHOP_WHEEL_PURCHASE	|Eishop/wheel_icon|e  |cffF7BD48Ruleta norocului|r
ITEMSHOP_WHEEL_REWARD_TEXT	Ai primit de la ruleta
ITEMSHOP_WHEEL_REWARD_TITLE	Premium
ITEMSHOP_WHEEL_SKIP_ANIMATION	Fara animatie
ITEMSHOP_WHEEL_TICKET_TEXT	|Eishop/wheel_ticket|e x1 Bilet ruleta
ITEMSHOP_WHEEL_TICKET_TEXT_INFO	Folosesti |cffF7BD48Bilet ruleta|r pentru ruleta.
ITEMSHOP_WINDOW_TITLE	Magazin obiecte
JOB_ASSASSIN	Ninja
JOB_SHAMAN	Șaman
JOB_SURA	Sura
JOB_WARRIOR	Razboinic
LEFT_TIME	Timp ramas
LOGIN_CLIENT_LOADING	Se incarca clientul din cache ...
LOGIN_CONNECT_FAILURE	Eroare la conectarea la server.
LOGIN_CONNECT_SUCCESS	Ai fost conectat la server.
LOGIN_CONNETING	Vei fi conectat la server ...
LOGIN_FAILURE_ALREAY	Contul tau este deja conectat.
LOGIN_FAILURE_BE_SAME_KEY	Problema la login
LOGIN_FAILURE_BLOCK_ID	Contul este blocat.
LOGIN_FAILURE_BLOCK_LOGIN	Alege alt server!
LOGIN_FAILURE_NOBILL	Contul nu detine timp de joc.
LOGIN_FAILURE_NOT_AVAIL	Contul este inaccesibil.
LOGIN_FAILURE_NOT_EXIST_ID	Nume contului sau parola sunt gresite.
LOGIN_FAILURE_REPAIR_ID	Pentru acest cont sunt refacute obiectele.
LOGIN_FAILURE_SAMELOGIN	Cineva s-a conectat la contul tau.
LOGIN_FAILURE_SHUTDOWN	Serverul nu este inca deschis.
LOGIN_FAILURE_TOO_MANY_USER	Conectarea nu s-a realizat pentru ca exista prea multi jucatori.
LOGIN_FAILURE_UNKNOWN	Login a esuat din motive necunoscute.
LOGIN_FAILURE_WEB_BLOCK	Ai fost blocat pe website. Verifica-ti mailurile.
LOGIN_FAILURE_WRONG_PASSWORD	Nume sau parola gresita.
LOGIN_FAILURE_WRONG_VERSION	Actualizeaza clientul, versiune client gresita!
LOGIN_INPUT_ID	Introdu ID-ul.
LOGIN_INPUT_PASSWORD	Introdu parola.
LOGIN_PROCESSING	Conectarea ruleaza ...
MAINTENANCE_TEXT_INFO	|cFFf2e2bc|H|hMentenanta tehnica in: |cFF80f076|H|h%s
MAINTENANCE_TEXT_LENGTH	|cFFc9ff00|H|hDurata: |cFF80f076|H|h%s
MAINTENANCE_TEXT_REASON	Motiv: %s
MAINTENANCE_TEXT_REASON_TECHNICAL	Motiv: Mentenanta tehnica
MAINTENANCE_TEXT_TIME_DAYS	 Zile
MAINTENANCE_TEXT_TIME_HOURS	 Ore
MAINTENANCE_TEXT_TIME_MINUTES	 Minut(e)
MALL_CANNOT_INSERT	Nu poti pozitiona obiectul.
MALL_PASSWORD_TITLE	Parola
MAP_01	Map 1
MAP_02	Map 2
MAP_01_02	Map 1 & 2
MAP_A1	Ținutul Yongan
MAP_A2	Valea Seungryong
MAP_A3	Ținutul Yayang
MAP_AG	Jungrang
MAP_B1	Ținutul Joan
MAP_B2	Valea Imji
MAP_B3	Ținutul Bokjung
MAP_BAY	Trecatoarea Nephrite
MAP_BG	Waryong
MAP_C1	Ținutul Pyungmoo
MAP_C2	Valea Bangsan
MAP_C3	Ținutul Bakra
MAP_CAPE	Peninsula Dragon de Foc
MAP_CG	Imha
MAP_DAWN	Stancile Gautama
MAP_DESERT	Desertul Yongbi
MAP_DEVILTOWER1	Turnul Demonilor
MAP_DEVILTOWER2	Turnul Umbrelor
MAP_DEVILCATACOMB	Catacomba Diavolului
MAP_DUEL	Arena Antrenament de Lupta
MAP_EMPIREWAR01	Batalie Castel
MAP_EMPIREWAR02	Batalie Castel
MAP_EMPIREWAR03	Batalie Castel
MAP_FLAME	Doyyumhwan
MAP_GUILD_01	Jungrang
MAP_GUILD_02	Waryong
MAP_GUILD_03	Imha
MAP_MONKEY_DUNGEON	Hasun Dong
MAP_MONKEY_DUNGEON2	Jungsun Dong
MAP_MONKEY_DUNGEON3	Sangsun Dong
MAP_MONKEY_DUNGEON_11	Hasun Dong
MAP_MONKEY_DUNGEON_12	Hasun Dong
MAP_MONKEY_DUNGEON_13	Hasun Dong
MAP_NUSLUCK	Taramul Gigantilor
MAP_N_FLAME_01	Țara de Foc
MAP_N_FLAME_DUNGEON_01	Purgatoriul Iadului
MAP_N_SNOW_DUNGEON_01	Turnul lui Nemere
MAP_OXEVENT	Concurs OX
MAP_SKELTOWER	Turnul Gumsan
MAP_SNOW	Muntele Sohan
MAP_SPIDER	Kuahlo Dong
MAP_SPIDERDUNGEON	Temnita Paianjenilor 1
MAP_SPIDERDUNGEON_02	Temnita Paianjenilor 2
MAP_SPIDERDUNGEON_03	Temnita Paianjenilor 3
MAP_SKIPIA_DUNGEON_01	Grota Exilului
MAP_SKIPIA_DUNGEON_02	Grota Exilului 2
MAP_SKIPIA_DUNGEON_01_02	Grota Exilului 1 & 2
MAP_SKIPIA_DUNGEON_BOSS	Templul Dragonului
MAP_T1	Zona de Lupta Breasla
MAP_T2	Zona de Lupta Breasla
MAP_T3	Zona de Lupta Breasla
MAP_T4	Zona de Lupta Breasla
MAP_TEMPLE	Templul Hwang
MAP_THUNDER	Muntii Thunder
MAP_TRADE	Bazaar
MAP_TREE	Lungsam
MAP_TRENT	Padurea Fantoma
MAP_TRENT02	Padurea Rosie
MAP_WEDDING_01	Harta Casatoriilor
MAP_WL	Valea Șerpilor
MESSENGER_ADD_FRIEND_ANSWER_TIMEOVER	Cererea de prietenie a fost anulata.
MESSENGER_ADD_FRIEND	Adauga prieten
MESSENGER_ADD_BLOCK_FRIEND	Blocheaza jucator
MESSENGER_BLOCK	Blocat
MESSENGER_DO_YOU_ACCEPT_ADD_FRIEND	%s vrea sa fiti prieteni, accepti?
MESSENGER_DO_YOU_DELETE	Vrei sa stergi din lista?
MESSENGER_DO_YOU_DELETE_PHONE_NUMBER	Vrei sa stergi numarul de mobil?
MESSENGER_DO_YOU_MOVE	Mai departe?
MESSENGER_EMPTY_LIST	Gol
MESSENGER_FAMILY	Familie
MESSENGER_FRIEND	Prieteni
MESSENGER_GUILD	Breasla
MESSENGER_TEAM	Echipa
MINIMAP	Deschide mini harta
MINIMAP_BOSS_RESPAWN_TIME	[Respawn: %s]
MINIMAP_CANNOT_SEE	Harta mini nu poate fi afisata.
MINIMAP_CAN_NOT_SHOW_AREAMAP	Harta mare nu poate fi afisata.
MINIMAP_DEC_SCALE	Minimeaza
MINIMAP_INC_SCALE	Maximeaza
MINIMAP_OBSERVER_COUNT	%d spectatori
MINIMAP_SHOW_AREAMAP	Deschide harta mare
MINI_GAME_RUMI_DISCARD_QUESTION	Esti sigur ca doresti sa lasi acest card?
MINI_GAME_RUMI_EXIT_QUESTION	Doresti sa termini jocul si sa colectezi premiul?
MINI_GAME_RUMI_EXIT_QUESTION2	Premiul difera in functie de punctele acumulate.
MINI_GAME_RUMI_START_QUESTION	Ai nevoie de %d Yang si %d Set(uri) de Carduri.
MINI_GAME_RUMI_START_QUESTION2	Vrei sa joci?
MINUTE	Min
MONETARY_UNIT0	Yang
MONETARY_UNIT1	zece mii
MONETARY_UNIT2	o suta de milioane
MONETARY_UNIT_JUN	MD
MONETARY_UNIT_EXP	Experienta
